web-scraper-order,web-scraper-start-url,catli,catli-href
1595342025-15,https://www.notino.co.uk,Skin,https://www.notino.co.uk/skin-care/
1595342025-18,https://www.notino.co.uk,Men,https://www.notino.co.uk/mens-grooming/
1595342025-20,https://www.notino.co.uk,Sun & tan,https://www.notino.co.uk/suntan/
1595342025-17,https://www.notino.co.uk,Makeup,https://www.notino.co.uk/makeup/
1595342025-16,https://www.notino.co.uk,Body,https://www.notino.co.uk/bath-and-body/
1595342025-19,https://www.notino.co.uk,Home fragrance,https://www.notino.co.uk/home-fragrance/
1595342025-12,https://www.notino.co.uk,Fragrance,https://www.notino.co.uk/fragrance/
1595342025-22,https://www.notino.co.uk,Brands,https://www.notino.co.uk/beauty-brands/
1595342025-21,https://www.notino.co.uk,Other,
1595342025-13,https://www.notino.co.uk,Hair,https://www.notino.co.uk/hair-care/
1595342025-14,https://www.notino.co.uk,Dermocosmetics,https://www.notino.co.uk/dermocosmetics/
